word,synonyms,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ฝันร้าย - VERB),,0.7057980575679291,0,0.7057980575679291,pos
(เท้าเปล่า - ADJ),,0.5293485431759468,0,0.5293485431759468,pos
(สนิม - VERB),"['หูด', 'ผง', 'เขม่า', 'ขี้เถ้า', 'ตะปุ่มตะป่ำ']",0.5293485431759468,-0.0061078678058763105,0.5232406753700705,pos
(ลูกสาว - ADV),"['ลูกชาย', 'น้องชาย', 'พี่ชาย', 'คุณแม่', 'ลูก']",0.39701140738196017,0,0.39701140738196017,pos
(ดิส - VERB),"['คัฟ', 'คาร์ท', 'เอ็กซ์', 'นีย์', 'เวอ']",0.3593826579239625,0,0.3593826579239625,pos
(ฟัน - VERB),"['เล็บ', 'แปรง', 'แผล', 'กราม', 'เหงือก']",0.31945125148796666,0,0.31945125148796666,pos
(ม้วน - ADV),"['ลวด', 'ห้อย', 'ห่อ', 'เสียบ', 'ขึง']",0.288735569005062,0,0.288735569005062,pos
(สักพัก - VERB),,0.288735569005062,0,0.288735569005062,pos
(แออัดยัดเยียด - ADJ),,0,-0.2646742715879734,-0.2646742715879734,neg
(จิบ - VERB),"['ซด', 'ดื่ม', 'ละเลียด', 'จอก', 'ดื่มกิน']",0.2443147122350524,0,0.2443147122350524,pos
(ค็อกเทล - ADJ),"['แชมเปญ', 'ไอศกรีม', 'หูฉลาม', 'น้ำส้ม', 'น้ำหวาน']",0.2443147122350524,0,0.2443147122350524,pos
(คนบ้า - VERB),,0,-0.2443147122350524,-0.2443147122350524,neg
(ห้า - ADJ),"['หก', 'เจ็ด', 'แปด', 'สี่', 'เก้า']",0.22686366136112007,0,0.22686366136112007,pos
(ดาว - ADV),"['ดาวเสาร์', 'ดวงดาว', 'ดาวเคราะห์', 'ดาวฤกษ์', 'ดาวเหนือ']",0.22686366136112007,0,0.22686366136112007,pos
(เอะอะ - VERB),"['โวยวาย', 'โหวกเหวก', 'แหกปาก', 'โอดครวญ', 'วี้ด']",0,-0.21173941727037876,-0.21173941727037876,neg
(กระแทก - VERB),"['ฟาด', 'เหวี่ยง', 'กระเด็น', 'ทิ่ม', 'กระชาก']",0.20536151881369286,-0.004272007820790045,0.20108951099290281,pos
(ตะเกียง - ADV),"['เจ้าพายุ', 'โคม', 'ธูป', 'ไฟ', 'ตะเกียงลาน']",0.19850570369098008,0,0.19850570369098008,pos
(เกลียด - VERB),"['อิจฉา', 'สงสาร', 'ขยะแขยง', 'เจ็บใจ', 'รังเกียจ']",0,-0.18682889759151067,-0.18682889759151067,neg
(พล็อต - VERB),"['รามเกียรติ์', 'นวนิยาย', 'นิยาย', 'โครงเรื่อง', 'เรื่องสั้น']",0,-0.18682889759151067,-0.18682889759151067,neg
(เทศบาลเมือง - ADJ),,0,-0.18682889759151067,-0.18682889759151067,neg
(เลิก - ADV),"['หยุด', 'ล้มเลิก', 'เปลี่ยนใจ', 'แต่งงาน', 'ฆ่าตัวตาย']",0,-0.18682889759151067,-0.18682889759151067,neg
(เกรซ - VERB),"['ไดอาน่า', 'โรส', 'วิลเลียม', 'แฮร์รี', 'ยูจีน']",0.006647808026156299,-0.18682889759151067,-0.18018108956535436,neg
(ยินดี - ADV),"['กระตือรือร้น', 'เต็มใจ', 'ชื่นชม', 'ปลาบปลื้ม', 'ดีใจ']",0.014093437565645588,-0.19167075089278002,-0.17757731332713442,neg
(สงบสุข - ADV),,0,-0.17644951439198228,-0.17644951439198228,neg
(เด็ก - ADJ),"['วัยรุ่น', 'ผู้หญิง', 'ทารก', 'เด็กหญิง', 'พ่อแม่']",0.17644951439198228,-0.0038067277917292223,0.17264278660025306,pos
(บ้าคลั่ง - ADJ),,0.16716269784503585,0,0.16716269784503585,pos
(ห้องสุขา - ADJ),,0,-0.16716269784503585,-0.16716269784503585,neg
(ดีวีดี - VERB),,0.15880456295278408,0,0.15880456295278408,pos
(วู้ด - VERB),"['วูด', 'ฮอลลี', 'สตรีท', 'สตาร์', 'เดอะ']",0,-0.15880456295278408,-0.15880456295278408,neg
(รถมอเตอร์ไซค์ - VERB),,0,-0.15880456295278408,-0.15880456295278408,neg
(ล่า - ADV),"['ดำน้ำ', 'ชมา', 'ผจญภัย', 'ทัศนาจร', 'มมี่']",0,-0.15880456295278408,-0.15880456295278408,neg
(กระเป๋ากางเกง - VERB),,0.1512424409074134,0,0.1512424409074134,pos
(หยุดพัก - VERB),,0,-0.1512424409074134,-0.1512424409074134,neg
(อลหม่าน - VERB),"['โกลาหล', 'อลเวง', 'ชุลมุน', 'อุตลุด', 'แตกตื่น']",0,-0.1512424409074134,-0.1512424409074134,neg
(แข็งแรง - ADJ),"['แข็งแกร่ง', 'ทนทาน', 'เข้มแข็ง', 'อ่อนแอ', 'บึกบึน']",0.1499427780186677,0,0.1499427780186677,pos
(สปา - VERB),"['เมด', 'ไนท์', 'บิวตี้', 'คลับ', 'เซอร์วิส']",0.021363842549701893,-0.16912125078774706,-0.14775740823804517,neg
(เลี้ยงฉลอง - VERB),,0.144367784502531,0,0.144367784502531,pos
